plastid;plastname;wellid;wellname
1757;РЛ;1011571;92968
227;ВТ75/7-Y;1007638;98394
227;ВТ75/7-Y;995512;79814Р
227;ВТ75/7-Y;995511;95863
227;ВТ75/7-Y;995510;72492
227;ВТ75/7-Y;995509;58215К
227;ВТ75/7-Y;995508;2743
227;ВТ75/7-Y;995506;66983
227;ВТ75/7-Y;995463;22928
227;ВТ75/7-Y;995462;47003
227;ВТ75/7-Y;995461;52352
227;ВТ75/7-Y;995460;29891Р
227;ВТ75/7-Y;995451;8717
227;ВТ75/7-Y;995450;71211К
1788;ЯТ7/7;1007678;50205К
1788;ЯТ7/7;995512;79814Р
1788;ЯТ7/7;995511;95863
1788;ЯТ7/7;995510;72492
1788;ЯТ7/7;995508;2743
1788;ЯТ7/7;995506;66983
1788;ЯТ7/7;995463;22928
1788;ЯТ7/7;995460;29891Р
1788;ЯТ7/7;995451;8717
1788;ЯТ7/7;995450;71211К
227;ВТ75/7-Y;995391;81272Р
227;ВТ75/7-Y;995390;63219К
227;ВТ75/7-Y;995389;60542
227;ВТ75/7-Y;995387;12394В
227;ВТ75/7-Y;995386;25877Р
227;ВТ75/7-Y;995385;58238
227;ВТ75/7-Y;995384;98001Б
227;ВТ75/7-Y;995382;34226
1788;ЯТ7/7;995392;63934
1788;ЯТ7/7;995390;63219К
1788;ЯТ7/7;995389;60542
1788;ЯТ7/7;995388;56340Б
1788;ЯТ7/7;995387;12394В
1788;ЯТ7/7;995386;25877Р
1788;ЯТ7/7;995383;68571Б
1788;ЯТ7/7;995382;34226
1788;ЯТ7/7;995381;649В
1788;ЯТ7/7;995380;44452В
1788;ЯТ7/7;995379;64431Б
1788;ЯТ7/7;995378;41032В
1788;ЯТ7/7;995372;6482Р
1788;ЯТ7/7;995370;40339В
1788;ЯТ7/7;995369;37079
1788;ЯТ7/7;995368;90276
1788;ЯТ7/7;995367;33699К
1788;ЯТ7/7;995366;40455Б
2176;ЯТ5;995380;44452В
2176;ЯТ5;995371;44238К
1834;ВТ79/9;1011148;26389В
1834;ВТ79/9;1011147;97197
1834;ВТ79/9;1011145;90147К
1788;ЯТ7/7;1011148;26389В
1788;ЯТ7/7;1011147;97197
1788;ЯТ7/7;1011145;90147К
227;ВТ75/7-Y;1011554;63344Р
1788;ЯТ7/7;1011554;63344Р
227;ВТ75/7-Y;1001000;2602В
227;ВТ75/7-Y;1000999;65199К
227;ВТ75/7-Y;1000980;38922
227;ВТ75/7-Y;1000960;81193
227;ВТ75/7-Y;1000959;47334К
227;ВТ75/7-Y;1000958;98323
227;ВТ75/7-Y;1000919;98476
227;ВТ75/7-Y;1000880;13258В
227;ВТ75/7-Y;1000858;82734
227;ВТ75/7-Y;1000857;58608Б
1788;ЯТ7/7;1000980;38922
1788;ЯТ7/7;1000960;81193
1788;ЯТ7/7;1000959;47334К
1788;ЯТ7/7;1000958;98323
1788;ЯТ7/7;1000940;11082К
1788;ЯТ7/7;1000919;98476
1788;ЯТ7/7;1000880;13258В
1788;ЯТ7/7;1000860;6837
1788;ЯТ7/7;1000858;82734
1788;ЯТ7/7;1000857;58608Б
1788;ЯТ7/7;955519;17959
1788;ЯТ7/7;955518;70326Б
2176;ЯТ5;1000860;6837
227;ВТ75/7-Y;1007759;54637
227;ВТ75/7-Y;955468;38792Р
227;ВТ75/7-Y;955467;82932
227;ВТ75/7-Y;955466;81712В
227;ВТ75/7-Y;955450;83656В
227;ВТ75/7-Y;955448;65781Б
227;ВТ75/7-Y;955447;21670
227;ВТ75/7-Y;955395;44532Б
227;ВТ75/7-Y;955385;24031В
227;ВТ75/7-Y;955382;30126К
227;ВТ75/7-Y;955381;64285
227;ВТ75/7-Y;955317;46800Б
227;ВТ75/7-Y;955316;56094
227;ВТ75/7-Y;955269;9856В
227;ВТ75/7-Y;955213;19071Б
227;ВТ75/7-Y;955202;54342Б
1788;ЯТ7/7;995520;49333
1788;ЯТ7/7;955469;38524
1788;ЯТ7/7;955468;38792Р
1788;ЯТ7/7;955465;92918Р
1788;ЯТ7/7;955452;50954
1788;ЯТ7/7;955451;7464К
1788;ЯТ7/7;955450;83656В
1788;ЯТ7/7;955449;36288Б
1788;ЯТ7/7;955448;65781Б
1788;ЯТ7/7;955447;21670
1788;ЯТ7/7;955446;14177Р
1788;ЯТ7/7;955395;44532Б
1788;ЯТ7/7;955385;24031В
1788;ЯТ7/7;955384;40075
1788;ЯТ7/7;955383;55668К
1788;ЯТ7/7;955320;53709
1788;ЯТ7/7;955210;20622К
1788;ЯТ7/7;955209;35229К
2176;ЯТ5;995520;49333
1788;ЯТ7/7;995519;11344
1788;ЯТ7/7;995518;5029
1788;ЯТ7/7;995517;31419Б
1788;ЯТ7/7;995516;12889В
1788;ЯТ7/7;995515;12320
1788;ЯТ7/7;955319;50016К
1788;ЯТ7/7;955318;62513
1788;ЯТ7/7;955214;91357
1788;ЯТ7/7;955212;18224
1788;ЯТ7/7;955211;92480
1788;ЯТ7/7;955208;85137
1788;ЯТ7/7;955204;34995К
1788;ЯТ7/7;955203;54614Р
227;ВТ75/7-Y;1005918;61828
227;ВТ75/7-Y;1005916;66763В
227;ВТ75/7-Y;1005398;38381
227;ВТ75/7-Y;1005358;30820
227;ВТ75/7-Y;1004958;44358
227;ВТ75/7-Y;1004956;36165К
227;ВТ75/7-Y;1004918;20556Б
227;ВТ75/7-Y;1004518;12304В
1788;ЯТ7/7;1005398;38381
1788;ЯТ7/7;1005394;54718
1788;ЯТ7/7;1005358;30820
1788;ЯТ7/7;1004916;62931К
1788;ЯТ7/7;1004556;26314
1788;ЯТ7/7;1004518;12304В
1834;ВТ79/9;983153;88864
1834;ВТ79/9;982353;89558
1834;ВТ79/9;982073;69042К
1834;ВТ79/9;981915;65160Б
1834;ВТ79/9;980235;98130К
1834;ВТ79/9;979673;61322
1834;ВТ79/9;979275;8605В
1834;ВТ79/9;978955;60867Б
1834;ВТ79/9;978835;16582
1788;ЯТ7/7;983313;51133
1788;ЯТ7/7;982355;33300Б
1788;ЯТ7/7;981195;54384
1788;ЯТ7/7;981073;4402В
1788;ЯТ7/7;980355;15322
1788;ЯТ7/7;979673;61322
1778;ЯТ5/7;981073;4402В
1778;ЯТ5/7;980955;75664В
1778;ЯТ5/7;980355;15322
1778;ЯТ5/7;979475;80826
1778;ЯТ5/7;978791;88495
1757;РЛ;983235;72947Р
1788;ЯТ7/7;976675;74615
1788;ЯТ7/7;976435;40968Б
1788;ЯТ7/7;976195;55672
1788;ЯТ7/7;975955;73211
1788;ЯТ7/7;975755;41005В
1778;ЯТ5/7;976075;60630
1778;ЯТ5/7;975713;82948
1757;РЛ;976475;97626К
1834;ВТ79/9;975875;78459
1788;ЯТ7/7;976673;620
1788;ЯТ7/7;976671;51612
1788;ЯТ7/7;976669;56023
1788;ЯТ7/7;976153;29161В
1788;ЯТ7/7;975795;9118В
1788;ЯТ7/7;975635;64680
1788;ЯТ7/7;974555;31394Р
1788;ЯТ7/7;974075;90474
1778;ЯТ5/7;975795;9118В
1757;РЛ;976667;41418Б
2176;ЯТ5;956332;92581
1788;ЯТ7/7;958475;44046Б
2176;ЯТ5;959435;58747
2176;ЯТ5;958515;18247
2176;ЯТ5;958395;59542
2176;ЯТ5;958315;48942Б
2176;ЯТ5;957591;94947
2176;ЯТ5;957475;54339
2176;ЯТ5;957315;23384Р
2176;ЯТ5;957313;69765
227;ВТ75/7-Y;956588;55949
1788;ЯТ7/7;956875;68458
2176;ЯТ5;956558;64325Р
2176;ЯТ5;956534;56321
2176;ЯТ5;956522;13331Р
2176;ЯТ5;956494;44842
2176;ЯТ5;956488;36807
2176;ЯТ5;956484;18055В
1834;ВТ79/9;956346;34201В
1778;ЯТ5/7;956476;56785
1778;ЯТ5/7;956474;54055В
1778;ЯТ5/7;956466;59458
1778;ЯТ5/7;956450;36069
1778;ЯТ5/7;956420;61729
1778;ЯТ5/7;956414;70933
1778;ЯТ5/7;956376;25693
1778;ЯТ5/7;956352;27140
1778;ЯТ5/7;956340;887
1778;ЯТ5/7;956324;9341
1778;ЯТ5/7;956322;49871Р
1757;РЛ;956410;59265Б
1788;ЯТ7/7;956292;81851
1778;ЯТ5/7;956458;72845
1778;ЯТ5/7;956428;14023В
1778;ЯТ5/7;956406;65568К
1778;ЯТ5/7;956404;46885
1778;ЯТ5/7;956374;40281
1778;ЯТ5/7;956366;47001К
1778;ЯТ5/7;956300;38727Б
1778;ЯТ5/7;956298;34805Р
1778;ЯТ5/7;956424;74015
1778;ЯТ5/7;956412;12933Б
1778;ЯТ5/7;956396;38658К
1778;ЯТ5/7;956384;57436
1778;ЯТ5/7;956368;32975
1778;ЯТ5/7;956360;46228
1778;ЯТ5/7;956350;9316В
1778;ЯТ5/7;956338;29612Р
1778;ЯТ5/7;956306;93566Р
1778;ЯТ5/7;956304;41902
1778;ЯТ5/7;956290;71509
1778;ЯТ5/7;956262;38631К
1778;ЯТ5/7;956238;79057В
1778;ЯТ5/7;956230;97664
1778;ЯТ5/7;956226;42724В
1778;ЯТ5/7;956212;74182
1778;ЯТ5/7;956192;43241
1778;ЯТ5/7;956188;85203Б
1778;ЯТ5/7;956164;18203
1778;ЯТ5/7;956118;42211В
1778;ЯТ5/7;956070;25866Б
1778;ЯТ5/7;956044;43523
1778;ЯТ5/7;956036;58777
1757;РЛ;956336;95104В
1757;РЛ;956206;3182
2176;ЯТ5;956282;27077
2176;ЯТ5;956280;75849
2176;ЯТ5;956256;48593Р
2176;ЯТ5;956246;15518Р
2176;ЯТ5;956218;85576
2176;ЯТ5;956202;62573
2176;ЯТ5;956200;67886
2176;ЯТ5;956172;74337
2176;ЯТ5;956106;35755
2176;ЯТ5;956086;10617
2176;ЯТ5;956034;83567Р
2176;ЯТ5;955992;81367
2176;ЯТ5;955968;28859
1778;ЯТ5/7;956254;36772
1778;ЯТ5/7;956240;4153
1778;ЯТ5/7;956232;72838В
1778;ЯТ5/7;956220;56282
1778;ЯТ5/7;956186;73701Б
1778;ЯТ5/7;956168;96045
1778;ЯТ5/7;956160;70946
1778;ЯТ5/7;956074;53399Р
1778;ЯТ5/7;956032;23412К
1778;ЯТ5/7;956022;39661
1778;ЯТ5/7;956004;91536
1778;ЯТ5/7;955998;6813Б
1778;ЯТ5/7;955964;40923Б
1778;ЯТ5/7;955954;26510
1778;ЯТ5/7;955946;73825
1778;ЯТ5/7;955926;77832Б
1778;ЯТ5/7;955898;71827
1778;ЯТ5/7;955866;53017
1757;РЛ;956170;92512В
1778;ЯТ5/7;956214;53524В
1778;ЯТ5/7;956208;40564В
1778;ЯТ5/7;956198;63691
1778;ЯТ5/7;956162;11744
1778;ЯТ5/7;956110;96045
1778;ЯТ5/7;956108;12059
1778;ЯТ5/7;956088;30851
1778;ЯТ5/7;956012;66880В
1778;ЯТ5/7;956006;49399
1778;ЯТ5/7;956002;57944Р
1778;ЯТ5/7;955990;3493В
1757;РЛ;956222;73916
1788;ЯТ7/7;955718;32927
1788;ЯТ7/7;955706;29335
1788;ЯТ7/7;955638;95329В
1778;ЯТ5/7;955942;41572В
1778;ЯТ5/7;955838;77231Р
1778;ЯТ5/7;955826;70446К
1778;ЯТ5/7;955822;83393
1778;ЯТ5/7;955818;64360В
1778;ЯТ5/7;955812;82906
1778;ЯТ5/7;955772;1057
1778;ЯТ5/7;955752;92742
1778;ЯТ5/7;955742;2568К
1778;ЯТ5/7;955732;20619Б
1778;ЯТ5/7;955718;32927
1778;ЯТ5/7;955674;25264В
1778;ЯТ5/7;955670;91309
1778;ЯТ5/7;955642;37734
1757;РЛ;955902;49246
1757;РЛ;955748;65798
2176;ЯТ5;955798;29624
2176;ЯТ5;955774;44414
2176;ЯТ5;955770;33111Б
2176;ЯТ5;955762;15615Б
2176;ЯТ5;955750;58466Р
2176;ЯТ5;955726;85742
2176;ЯТ5;955716;80075Р
2176;ЯТ5;955696;12377Р
1757;РЛ;953396;57778
2176;ЯТ5;953570;97337Р
2176;ЯТ5;953552;54433В
2176;ЯТ5;953530;87994В
2176;ЯТ5;953528;72320
2176;ЯТ5;953516;93757
2176;ЯТ5;953476;50686
2176;ЯТ5;953474;48693К
2176;ЯТ5;953464;29501
2176;ЯТ5;953440;31662Б
2176;ЯТ5;953396;57778
2176;ЯТ5;953370;57319
2176;ЯТ5;953356;85361
2176;ЯТ5;953318;8330
2176;ЯТ5;953304;2271К
2176;ЯТ5;953274;68288
2176;ЯТ5;953258;45258
1778;ЯТ5/7;953238;9186
1778;ЯТ5/7;953208;1826
1778;ЯТ5/7;953180;6891
1778;ЯТ5/7;953150;55912
1778;ЯТ5/7;953134;19505Р
1778;ЯТ5/7;953126;55762
1778;ЯТ5/7;953120;13166
1778;ЯТ5/7;953062;72395
1778;ЯТ5/7;953034;77959В
1778;ЯТ5/7;953022;32244
1778;ЯТ5/7;953006;42635Р
1778;ЯТ5/7;952998;97
1778;ЯТ5/7;952988;60982
1778;ЯТ5/7;952958;46435
1778;ЯТ5/7;952932;71180
1757;РЛ;953098;59813
1757;РЛ;952970;21684К
2176;ЯТ5;952976;2663
2176;ЯТ5;952956;91594В
2176;ЯТ5;952950;37720В
2176;ЯТ5;952918;47840
2176;ЯТ5;952888;25746
2176;ЯТ5;952878;75464
2176;ЯТ5;952874;8461В
2176;ЯТ5;952848;30222Б
2176;ЯТ5;952822;44540
2176;ЯТ5;952802;56320
2176;ЯТ5;952798;78300Б
1778;ЯТ5/7;952808;97300В
1778;ЯТ5/7;952796;32923В
1778;ЯТ5/7;952786;16157Р
1778;ЯТ5/7;952740;63764
1778;ЯТ5/7;952726;5963
1778;ЯТ5/7;952702;3448В
1778;ЯТ5/7;952668;63540Б
1778;ЯТ5/7;952652;19231
1778;ЯТ5/7;952642;86133К
1778;ЯТ5/7;952640;59163
1778;ЯТ5/7;952610;780
1778;ЯТ5/7;952596;98402
1778;ЯТ5/7;952578;98447
1778;ЯТ5/7;952574;34931Р
1778;ЯТ5/7;952572;29421Б
1778;ЯТ5/7;952538;61487
1778;ЯТ5/7;952534;283
1778;ЯТ5/7;952492;7232
1778;ЯТ5/7;952488;1167
1757;РЛ;952800;72766В
1778;ЯТ5/7;952744;69013В
1778;ЯТ5/7;952720;72782
1778;ЯТ5/7;952712;34625Р
1778;ЯТ5/7;952672;84189К
1778;ЯТ5/7;952662;83361К
1778;ЯТ5/7;952636;13367Р
1778;ЯТ5/7;952632;34702
1778;ЯТ5/7;952584;27025
1778;ЯТ5/7;952566;78549
1778;ЯТ5/7;952556;32866
1778;ЯТ5/7;952530;27512
1778;ЯТ5/7;952522;39796
1778;ЯТ5/7;952490;53070
1778;ЯТ5/7;952462;44551В
1778;ЯТ5/7;952422;54481
1778;ЯТ5/7;952416;13073
1778;ЯТ5/7;952410;9509
1778;ЯТ5/7;952364;88623Б
1778;ЯТ5/7;952248;35418К
1757;РЛ;952734;99146Р
1757;РЛ;952398;40432
2176;ЯТ5;952316;71503
2176;ЯТ5;952254;20340Б
2176;ЯТ5;952240;42369
2176;ЯТ5;952228;19441В
2176;ЯТ5;952226;55876
2176;ЯТ5;952214;375
2176;ЯТ5;952212;49668
2176;ЯТ5;952204;1538
2176;ЯТ5;952102;58855
1778;ЯТ5/7;951928;86733Б
1778;ЯТ5/7;951858;89069
1778;ЯТ5/7;951840;58641
1778;ЯТ5/7;951838;57172
1778;ЯТ5/7;951820;16482К
1778;ЯТ5/7;951776;50807Р
1778;ЯТ5/7;951732;91780
1778;ЯТ5/7;951708;44344В
1778;ЯТ5/7;951682;90878
1778;ЯТ5/7;951618;65777
1778;ЯТ5/7;951526;46596К
1757;РЛ;951970;33240К
1757;РЛ;951614;48657К
2176;ЯТ5;951596;75033Б
2176;ЯТ5;951554;63497Р
2176;ЯТ5;951552;80379Б
2176;ЯТ5;951510;97344Б
2176;ЯТ5;951502;53372Р
2176;ЯТ5;951476;67748
2176;ЯТ5;951450;14632
2176;ЯТ5;951420;31750
2176;ЯТ5;951386;54042
2176;ЯТ5;951352;7436Р
2176;ЯТ5;951316;94204В
1757;РЛ;951306;20477Р
2176;ЯТ5;951294;1656Б
2176;ЯТ5;951226;59628К
2176;ЯТ5;951220;6624Б
2176;ЯТ5;951174;16891
2176;ЯТ5;951168;47179В
2176;ЯТ5;951160;33137
2176;ЯТ5;951130;71191В
2176;ЯТ5;951092;41280
2176;ЯТ5;951090;54659Р
2176;ЯТ5;951034;46018В
2176;ЯТ5;950988;51458
1757;РЛ;944475;51223
2176;ЯТ5;944449;36363К
2176;ЯТ5;944435;53434В
2176;ЯТ5;944421;44835
2176;ЯТ5;944271;54983Р
2176;ЯТ5;944253;4739
2176;ЯТ5;944239;19527
2176;ЯТ5;944207;10233Б
2176;ЯТ5;944155;25234
2176;ЯТ5;944151;29537
2176;ЯТ5;944145;54397В
2176;ЯТ5;944123;6695
1778;ЯТ5/7;944257;91466
1778;ЯТ5/7;944143;3847
1778;ЯТ5/7;944141;88732В
1778;ЯТ5/7;944109;56634
1778;ЯТ5/7;944093;56712К
1778;ЯТ5/7;944051;18184
1757;РЛ;944267;98795Р
2184;ВТ7;1015390;45942
2184;ВТ7;1015169;31058
1870;ВТ79+77;1015390;45942
1870;ВТ79+77;1015200;34397
1870;ВТ79+77;1015169;31058
1757;РЛ;1015200;34397
1870;ВТ79+77;1014608;46382
1870;ВТ79+77;1014607;3986
1870;ВТ79+77;1015100;30383
1870;ВТ79+77;1015099;7199
1870;ВТ79+77;1015098;86883
1870;ВТ79+77;1015097;7055
1870;ВТ79+77;1015066;7109
1870;ВТ79+77;1015064;47983
1870;ВТ79+77;1015056;91665Б
1870;ВТ79+77;1015055;43920Б
2182;ВТ5+Y;1015070;93595
1870;ВТ79+77;1015086;29132
1870;ВТ79+77;1015063;70512
2182;ВТ5+Y;1014911;1067
2182;ВТ5+Y;1014910;4191
2184;ВТ7;1015049;3060Б
2182;ВТ5+Y;1015078;5029
1870;ВТ79+77;1015429;98202К
1870;ВТ79+77;1015050;68562Б
1870;ВТ79+77;1015049;3060Б
2184;ВТ7;1015053;44526К
2184;ВТ7;1014885;6892
2184;ВТ7;1014884;75440Р
2184;ВТ7;1014883;9878
2184;ВТ7;1014881;33699К
2184;ВТ7;1014770;2722
2184;ВТ7;1014456;77596
2184;ВТ7;1014455;88872
2184;ВТ7;1014435;1304
2184;ВТ7;1014101;50671В
2182;ВТ5+Y;1015434;24160
2182;ВТ5+Y;1015092;54614Р
2182;ВТ5+Y;1015053;44526К
2182;ВТ5+Y;1014884;75440Р
2182;ВТ5+Y;1014883;9878
2182;ВТ5+Y;1014881;33699К
2182;ВТ5+Y;1014770;2722
2182;ВТ5+Y;1014456;77596
2182;ВТ5+Y;1014454;5795
1870;ВТ79+77;1015082;99096
1870;ВТ79+77;1015054;71869
1870;ВТ79+77;1015053;44526К
1870;ВТ79+77;1014456;77596
1870;ВТ79+77;1014455;88872
1870;ВТ79+77;1014454;5795
1870;ВТ79+77;1014435;1304
1870;ВТ79+77;1014434;44924
1870;ВТ79+77;1014433;97335Б
1870;ВТ79+77;1014109;69131Р
1870;ВТ79+77;1014101;50671В
2176;ЯТ5;1015092;54614Р
2176;ЯТ5;1014432;83925Б
2184;ВТ7;1015432;23242
2184;ВТ7;1015081;98754
2184;ВТ7;1015052;9691
2184;ВТ7;1014880;31419Б
2184;ВТ7;1014769;79934
2184;ВТ7;1014431;36179
2184;ВТ7;1014255;37887
2184;ВТ7;1014253;23360
2182;ВТ5+Y;1015081;98754
2182;ВТ5+Y;1014877;15085В
2182;ВТ5+Y;1014804;89395
2182;ВТ5+Y;1014769;79934
2182;ВТ5+Y;1014685;77955
2182;ВТ5+Y;1014250;20193
1870;ВТ79+77;1015432;23242
1870;ВТ79+77;1015052;9691
1870;ВТ79+77;1014880;31419Б
1870;ВТ79+77;1014686;16948В
1870;ВТ79+77;1014685;77955
1870;ВТ79+77;1014431;36179
1870;ВТ79+77;1014430;82218К
1870;ВТ79+77;1014248;86682К
1870;ВТ79+77;1014247;4469
1870;ВТ79+77;1014164;36807
2176;ЯТ5;1015088;41175Б
2176;ЯТ5;1014254;84534
2184;ВТ7;1015440;88697Р
2182;ВТ5+Y;1014906;22990
2182;ВТ5+Y;1014905;60543Б
2182;ВТ5+Y;1015351;43947Б
1870;ВТ79+77;1015351;43947Б
2184;ВТ7;1014867;55068
2184;ВТ7;1014866;11312
2184;ВТ7;1014865;38746В
2184;ВТ7;1014864;55165
2184;ВТ7;1014863;93264
2184;ВТ7;1014830;25821Б
2184;ВТ7;1014822;86433
1870;ВТ79+77;1015091;5498
1870;ВТ79+77;1014866;11312
1870;ВТ79+77;1014852;5369
1870;ВТ79+77;1014742;4991
1870;ВТ79+77;1014733;81436
1870;ВТ79+77;1014560;40275Б
1870;ВТ79+77;1014115;40422К
1870;ВТ79+77;1014114;1935Б
1870;ВТ79+77;1014107;38381
2176;ЯТ5;1014822;86433
1757;РЛ;1014865;38746В
1870;ВТ79+77;1014771;16342
1870;ВТ79+77;1014735;81619
1870;ВТ79+77;1014568;55876
1870;ВТ79+77;1014566;27077
1870;ВТ79+77;1014565;93304В
1870;ВТ79+77;1014564;98769К
1870;ВТ79+77;1014563;42741Б
1870;ВТ79+77;1014562;89290В
1870;ВТ79+77;1014561;28859
2176;ЯТ5;1014744;11811К
2176;ЯТ5;1014568;55876
1870;ВТ79+77;1014734;34382Р
1870;ВТ79+77;1014726;62118Б
1870;ВТ79+77;1014725;65781Б
1870;ВТ79+77;1014553;8330
1870;ВТ79+77;1014552;85361
1870;ВТ79+77;1014543;44540
1870;ВТ79+77;1014542;98158
1870;ВТ79+77;1014541;93757
1870;ВТ79+77;1014535;25746
1870;ВТ79+77;1014268;18559В
2176;ЯТ5;1014536;91594В
2184;ВТ7;1014821;30126К
1870;ВТ79+77;1014732;75609Б
1870;ВТ79+77;1014724;81712В
1870;ВТ79+77;1014559;13328
1870;ВТ79+77;1014540;83351Р
1870;ВТ79+77;1014539;45258
1870;ВТ79+77;1014538;54433В
2176;ЯТ5;1015423;29983
2176;ЯТ5;1014540;83351Р
2184;ВТ7;1014721;98978
2184;ВТ7;1014550;67886
1870;ВТ79+77;1014820;44532Б
1870;ВТ79+77;1014819;64285
1870;ВТ79+77;1014731;3940
1870;ВТ79+77;1014722;23011
1870;ВТ79+77;1014558;29501
1870;ВТ79+77;1014550;67886
2176;ЯТ5;1014537;34297
2184;ВТ7;1014756;71731В
2184;ВТ7;1014709;2003
2184;ВТ7;1014531;64282
1870;ВТ79+77;1015426;51349
1870;ВТ79+77;1015095;40455Б
1870;ВТ79+77;1014713;5951Р
1870;ВТ79+77;1014709;2003
1870;ВТ79+77;1014708;40067
1870;ВТ79+77;1014531;64282
1870;ВТ79+77;1014188;72320
1870;ВТ79+77;1014184;57319
2177;ЯТ7;1014189;15518Р
2176;ЯТ5;1014189;15518Р
2184;ВТ7;1014870;81747Б
2184;ВТ7;1014187;97337Р
2184;ВТ7;1014186;2663
2184;ВТ7;1014185;47840
2182;ВТ5+Y;1014190;75849
1870;ВТ79+77;1014811;60086Р
1870;ВТ79+77;1014714;65377В
1870;ВТ79+77;1014711;83395В
1870;ВТ79+77;1014532;89645
1870;ВТ79+77;1014523;87614
1870;ВТ79+77;1014191;48693К
1870;ВТ79+77;1014185;47840
2184;ВТ7;1014813;20556Б
2184;ВТ7;1014812;46068
2184;ВТ7;1014192;87994В
2184;ВТ7;1014104;30227
1870;ВТ79+77;1014715;17346К
1870;ВТ79+77;1014534;51959Р
1870;ВТ79+77;1014533;37720В
1870;ВТ79+77;1014526;28154Р
1870;ВТ79+77;1014525;75526
1870;ВТ79+77;1014524;35293
1870;ВТ79+77;1014517;89281В
1870;ВТ79+77;1014112;12351К
1870;ВТ79+77;1014104;30227
1870;ВТ79+77;1014705;55318
1870;ВТ79+77;1014703;58238
1870;ВТ79+77;1014528;25578Б
1870;ВТ79+77;1014527;11589
1870;ВТ79+77;1014520;70979
1870;ВТ79+77;1014518;14266В
1870;ВТ79+77;1014506;89635
2176;ЯТ5;1014521;11769
1870;ВТ79+77;1014704;8927
1870;ВТ79+77;1014694;4739
1870;ВТ79+77;1014693;72567Б
1870;ВТ79+77;1014692;84994
1870;ВТ79+77;1014671;27607
1870;ВТ79+77;1014507;89168
1870;ВТ79+77;1014504;77727К
1870;ВТ79+77;1014503;12377Р
1870;ВТ79+77;1014490;53835
1870;ВТ79+77;1014489;96535В
1870;ВТ79+77;1014483;91481
1870;ВТ79+77;1014120;10296Б
1870;ВТ79+77;1014505;93511В
1870;ВТ79+77;1014500;14320В
2184;ВТ7;1014710;5987Р
2184;ВТ7;1014701;97100
2184;ВТ7;1014512;4952Р
2184;ВТ7;1014511;72558Б
2184;ВТ7;1014262;26154Б
2184;ВТ7;1014183;22763Р
1870;ВТ79+77;1014710;5987Р
1870;ВТ79+77;1014701;97100
1870;ВТ79+77;1014698;30473
1870;ВТ79+77;1014513;13816В
1870;ВТ79+77;1014512;4952Р
1870;ВТ79+77;1014494;29624
1870;ВТ79+77;1014183;22763Р
2176;ЯТ5;1014700;20374
2184;ВТ7;1015094;56038
2184;ВТ7;1014267;66832
2184;ВТ7;1014265;11433К
2184;ВТ7;1014264;93156
2182;ВТ5+Y;1014696;97751Р
2182;ВТ5+Y;1014266;55256
2182;ВТ5+Y;1014265;11433К
2182;ВТ5+Y;1014177;44716
1870;ВТ79+77;1015094;56038
1870;ВТ79+77;1014696;97751Р
1870;ВТ79+77;1014695;6604
1870;ВТ79+77;1014510;19816
1870;ВТ79+77;1014509;96753К
1870;ВТ79+77;1014508;13187Р
1870;ВТ79+77;1014492;80018
1870;ВТ79+77;1014491;53637
1870;ВТ79+77;1014267;66832
1870;ВТ79+77;1014266;55256
2176;ЯТ5;1014695;6604
2176;ЯТ5;1014510;19816
2184;ВТ7;1015093;18224
2184;ВТ7;1014872;67590Б
2184;ВТ7;1014869;77310Б
2184;ВТ7;1014806;644
2184;ВТ7;1014805;85304Р
2184;ВТ7;1014260;41938
2184;ВТ7;1014258;90289В
2184;ВТ7;1014176;95788В
2184;ВТ7;1014174;21234К
2182;ВТ5+Y;1014874;99726
2182;ВТ5+Y;1014873;59423
2182;ВТ5+Y;1014872;67590Б
2182;ВТ5+Y;1014871;40557К
2176;ЯТ5;1014257;66161Р
2184;ВТ7;1014809;6161
2184;ВТ7;1014718;13676
2184;ВТ7;1014493;7193Р
2184;ВТ7;1014467;79235
2184;ВТ7;1014261;30031
2184;ВТ7;1014171;71320
2182;ВТ5+Y;1014878;4795
2182;ВТ5+Y;1014876;58987В
2182;ВТ5+Y;1014875;2443
2182;ВТ5+Y;1014476;60792
2182;ВТ5+Y;1014466;34321
2182;ВТ5+Y;1014261;30031
2182;ВТ5+Y;1014217;32627Р
2182;ВТ5+Y;1014171;71320
1870;ВТ79+77;1014876;58987В
1870;ВТ79+77;1014718;13676
1870;ВТ79+77;1014476;60792
1870;ВТ79+77;1014467;79235
1870;ВТ79+77;1014466;34321
2177;ЯТ7;1014170;84786
2184;ВТ7;1014879;12889В
2184;ВТ7;1014468;87996К
2182;ВТ5+Y;1015158;46021
2182;ВТ5+Y;1014802;85778
1870;ВТ79+77;1014803;6335
1870;ВТ79+77;1014470;57319
1870;ВТ79+77;1014259;66229
1870;ВТ79+77;1014256;90697
1870;ВТ79+77;1014172;33111Б
1870;ВТ79+77;1011190;58965
2184;ВТ7;1014471;99673
1870;ВТ79+77;1015051;86263
1870;ВТ79+77;1014691;55949
1870;ВТ79+77;1014593;38324Р
1870;ВТ79+77;1014501;80075Р
1870;ВТ79+77;1014488;83907Б
1870;ВТ79+77;1014481;93663Б
1870;ВТ79+77;1014479;30435
1870;ВТ79+77;1014471;99673
1870;ВТ79+77;1014462;56484Б
1870;ВТ79+77;1014689;64325Р
1870;ВТ79+77;1014688;56321
